Ticker Symbol,Company Name
UFO,ALIEN METALS LD COM SHS NPV (DI)
REVB,REVOLUTION BEAUTY GROUP PLC ORD GBP0.01
ORCP,ORACLE POWER PLC ORD 0.001P
TAVI,TAVISTOCK INVESTMENTS PLC ORD 1P
GMET,GUARDIAN METAL RESOURCES PLC ORD 1P
APTA,APTAMER GROUP PLC ORD 0.1P
PEB,PEBBLE BEACH SYSTEMS GROUP PLC ORD 2.5P
RCN,REDCENTRIC PLC ORD 0.1P
STX,SHIELD THERAPEUTICS PLC ORD 1.5P
LND,LANDORE RESOURCES LD ORD NPV
LIT,LITIGATION CAPITAL MANAGEMENT LTD ORD NPV (DI)
RRR,RED ROCK RESOURCES PLC ORD 0.01P
N4P,N4 PHARMA PLC ORD 0.4P
GRL,GOLDSTONE RESOURCES LD ORD 1P
GWMO,GREAT WESTERN MINING CORP. PLC ORD EUR0.0001 (CDI)
WSG,WESTMINSTER GROUP PLC ORD 0.1P
TRP,TOWER RESOURCES PLC ORD GBP0.00001
DIS,DISTIL PLC ORD 0.1P
GCM,GCM RESOURCES PLC ORD 1P
EPP,ENERGYPATHWAYS PLC ORD GBP0.01
