Ticker Symbol,Company Name
SMWH,WH SMITH PLC ORD 22 6/67P
FXPO,FERREXPO PLC ORD 10P
RWA,ROBERT WALTERS PLC ORD 20P
APN,APPLIED NUTRITION PLC ORD GBP0.0002
HTWS,HELIOS TOWERS PLC ORD 1P
CWR,CERES POWER HOLDINGS PLC ORD 10P
PZC,PZ CUSSONS PLC ORD 1P
RCH,REACH PLC ORD 10P
THG,THG PLC ORD GBP0.005
FUTR,FUTURE PLC ORD 15P
STAN,STANDARD CHARTERED PLC ORD USD0.50
CCL,CARNIVAL PLC ORD USD 1.66
BMS,BRAEMAR PLC ORD 10P
MCG,MOBICO GROUP PLC ORD 5P
SYNT,SYNTHOMER PLC ORD 1P
SAGA,SAGA PLC ORD 15P
SSPG,SSP GROUP PLC ORD 1 17/200P
DOCS,DR. MARTENS PLC ORD GBP0.01
MGAM,MORGAN ADVANCED MATERIALS PLC ORD 25P
PRTC,PURETECH HEALTH PLC ORD 1P
